no,name,releasedate,mainactor,
1,2001: A Space Odyssey,1968,Keir Dullea
2,About Time,2013,Domhnall Gleeson,
3,Arrival,2016,Amy Adams
4,Avengers: Endgame,2019,Robert Downey Jr.
5,Back to the Future,1985,Michael J Fox
6,Back to the Future Part II ,1989,Michael J Fox
7,Back to the Future Part III,1990,Michael J Fox
8,Bill & Ted's Excellent Adventure,1989,Keanu Reeves
9,Deadpool 2,2018,Ryan Reynolds
10,Doctor Strange,2016,Benedict Cumberbatch
11,Donnie Darko,2001,Jake Gyllenhaal
12,Edge of Tomorrow ,2014,Tom Cruise
13,Groundhog Day,1993,Bill Murray
14,Harry Potter and the Prisoner of Azkaban,2004,Daniel Radcliffe
15,Happy Death Day,2017,Jessica Rothe
16,Interstellar,2014,Matthew McConaughey
17,In the Shadow of the Moon,2019,Boyd Holbrook
18,Jumanji,1995,Robin Williams
19,Looper,2012,Joseph Gordon-Levitt
20,Men in Black 3,2012,Will Smith
21,Midnight in Paris,2011,Owen Wilson
22,Safety Not Guaranteed,2012,Aubrey Plaza
23,Sleeper,1973,Woody Allen
24,Star Trek,2009,Chris Pine
25,Star Trek IV: The Voyage Home ,1986,William Shatner
26,Synchronicity,2015,Chad McKnigh
27,Terminator: Dark Fate,2019,Linda Hamilton
28,Terminator 2: Judgment Day,1991,Arnold Schwarzenegger
29,The Butterfly Effect,2004,Ashton Kutcher
30,The Terminator,1984,Arnold Schwarzenegger
31,The Time Traveller's Wife,2009,Eric Bana
32,Twelve Monkeys,1995,Bruce Willis
33,X-Men: Days of Future Past,2014, Patrick Stewart
